Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id,ll,v_gain,v_loss,u,p_fish,p_defer,p_safe,SubjectiveValue
2.0,2.0,38.0,1.0,3.0,1.0,0.0,1.0,9.645596e-01,4.0,3.0,1.0,Sub111,-0.7708160092806303,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
2.0,2.0,39.0,4.0,4.0,1.0,0.0,2.0,7.292186e-01,5.0,1.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,2.0,40.0,4.0,2.0,1.0,0.0,1.0,6.591993e-01,6.0,2.0,1.0,Sub111,-0.3711323376861704,1.0,-0.9999999999999999,0.39999999999859975,0.6899526287814013,3.167123755337675e-05,0.3100156999810452,0.39999999999859975
2.0,3.0,41.0,-3.0,1.0,1.0,2.0,3.0,9.117922e-01,3.0,6.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,3.0,42.0,-1.0,7.0,1.0,2.0,3.0,7.657847e-01,1.0,2.0,1.0,Sub111,-2.2463280534449366,1.0,-0.9999999999999999,-0.10000000000089976,0.08661103440524755,0.8076020092848768,0.10578695630987565,-0.10000000000089976
2.0,3.0,43.0,-3.0,5.0,1.0,2.0,3.0,8.462084e-01,1.0,4.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,3.0,44.0,2.0,2.0,1.0,0.0,1.0,5.300261e-01,5.0,3.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,3.0,45.0,2.0,4.0,1.0,1.0,3.0,1.072477e+00,4.0,2.0,1.0,Sub111,-3.783214578996994,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,3.0,46.0,-3.0,1.0,1.0,2.0,3.0,9.762087e-01,3.0,6.0,1.0,Sub111,-1.000549011949832,1.0,-0.9999999999999999,-0.3000000000007,0.20178570481441827,0.43053676879255554,0.3676775263930262,-0.3000000000007
2.0,3.0,47.0,-2.0,4.0,1.0,1.0,3.0,7.523919e-01,2.0,4.0,1.0,Sub111,-0.25678365928559505,1.0,-0.9999999999999999,-0.20000000000079982,0.09088298118178693,0.7735355428957125,0.13558147592250058,-0.20000000000079982
2.0,3.0,48.0,-4.0,4.0,1.0,2.0,3.0,8.761908e-01,1.0,5.0,1.0,Sub111,-0.4996759268497608,1.0,-0.9999999999999999,-0.4000000000005998,0.2726201275824908,0.12065262055086717,0.6067272518666421,-0.4000000000005998
2.0,3.0,49.0,1.0,9.0,1.0,1.0,1.0,8.165966e-01,1.0,0.0,1.0,Sub111,-1.8414281584988599,1.0,-0.9999999999999999,0.09999999999890014,0.46263539946103255,0.15859077153690798,0.3787738290020595,0.09999999999890014
2.0,3.0,50.0,2.0,6.0,1.0,0.0,1.0,1.100732e+00,3.0,1.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
2.0,3.0,51.0,2.0,4.0,1.0,0.0,2.0,7.777331e-01,4.0,2.0,1.0,Sub111,-0.5360274576346118,1.0,-0.9999999999999999,0.19999999999879986,0.585067848790942,0.022749443872678576,0.3921827073363795,0.19999999999879986
