Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
2,1,14,-4,2,1,2,3,0.5639319,2.0,6.0,2,Sub111
2,1,15,4,2,1,0,1,0.5924309,6.0,2.0,2,Sub111
2,1,16,4,2,1,0,1,0.570514,6.0,2.0,2,Sub111
2,1,17,4,6,1,0,2,0.6192732,4.0,0.0,2,Sub111
2,1,18,2,4,1,0,1,0.7186888,4.0,2.0,2,Sub111
2,1,19,-2,4,1,2,3,0.8603391,2.0,4.0,2,Sub111
2,1,20,3,7,1,0,2,0.8553311,3.0,0.0,2,Sub111
1,2,21,-1,5,1,1,2,0.8200084,2.0,3.0,2,Sub111
1,2,22,-1,5,1,1,3,0.7209986,2.0,3.0,2,Sub111
1,2,23,-3,5,1,2,3,0.8567042,1.0,4.0,2,Sub111
1,2,24,4,2,1,0,2,0.7352378,6.0,2.0,2,Sub111
1,2,25,4,6,1,0,2,0.5454495,4.0,0.0,2,Sub111
1,2,26,1,7,1,1,2,0.8589725,2.0,1.0,2,Sub111
1,2,27,-1,5,1,1,3,0.5727877,2.0,3.0,2,Sub111
1,2,28,4,2,1,0,2,0.6732209,6.0,2.0,2,Sub111
1,2,29,-2,2,1,2,3,0.7298587,3.0,5.0,2,Sub111
1,2,30,3,1,1,0,2,0.6973439,6.0,3.0,2,Sub111
1,2,31,-4,4,1,2,3,0.7472586,1.0,5.0,2,Sub111
1,2,32,3,1,1,0,2,0.6363847,6.0,3.0,2,Sub111
1,2,33,2,8,1,0,2,0.8862383,2.0,0.0,2,Sub111
1,2,34,-3,5,1,2,3,0.6957498,1.0,4.0,2,Sub111
1,2,35,4,4,1,0,2,0.7817202,5.0,1.0,2,Sub111
1,2,36,2,8,1,0,2,0.701479,2.0,0.0,2,Sub111
1,2,37,-4,2,1,2,3,0.5578635,2.0,6.0,2,Sub111
1,2,38,1,3,1,0,1,0.9017777,4.0,3.0,2,Sub111
1,2,39,4,4,1,0,1,0.638863,5.0,1.0,2,Sub111
1,2,40,4,2,1,0,2,0.5910324,6.0,2.0,2,Sub111
1,3,41,-3,1,1,2,3,0.6681615,3.0,6.0,2,Sub111
1,3,42,-1,7,1,1,3,0.8354301,1.0,2.0,2,Sub111
1,3,43,-3,5,1,2,3,0.701069,1.0,4.0,2,Sub111
1,3,44,2,2,1,0,2,0.7524892,5.0,3.0,2,Sub111
1,3,45,2,4,1,0,1,0.6323057,4.0,2.0,2,Sub111
1,3,46,-3,1,1,2,3,0.7275164,3.0,6.0,2,Sub111
1,3,47,-2,4,1,2,3,1.176064,2.0,4.0,2,Sub111
1,3,48,-4,4,1,2,3,0.68364,1.0,5.0,2,Sub111
1,3,49,1,9,1,1,3,0.795302,1.0,0.0,2,Sub111
1,3,50,2,6,1,1,3,0.8384519,3.0,1.0,2,Sub111
1,3,51,2,4,1,0,2,0.8183193,4.0,2.0,2,Sub111
1,3,52,2,6,1,0,2,0.718537,3.0,1.0,2,Sub111
1,3,53,-1,7,1,1,1,0.7822355,1.0,2.0,2,Sub111
1,3,54,-1,3,1,0,2,0.9558945,3.0,4.0,2,Sub111
1,3,55,-3,5,1,2,3,0.6716549,1.0,4.0,2,Sub111
1,3,56,-3,3,1,1,3,0.5951437,2.0,5.0,2,Sub111
1,3,57,-4,4,1,2,3,0.9221767,1.0,5.0,2,Sub111
1,3,58,-2,4,1,0,1,0.9860346,2.0,4.0,2,Sub111
1,3,59,-2,2,1,1,3,0.9349564,3.0,5.0,2,Sub111
1,3,60,-4,4,1,2,3,1.052661,1.0,5.0,2,Sub111
2,4,61,-1,3,1,0,2,0.8334785,3.0,4.0,2,Sub111
2,4,62,3,1,1,0,2,0.9498979,6.0,3.0,2,Sub111
2,4,63,-1,1,1,1,3,0.6617339,4.0,5.0,2,Sub111
2,4,64,4,2,1,0,2,0.6353043,6.0,2.0,2,Sub111
2,4,65,3,5,1,0,2,0.6672011,4.0,1.0,2,Sub111
2,4,66,-4,4,1,2,3,0.7575096,1.0,5.0,2,Sub111
2,4,67,-3,3,1,2,3,0.8144861,2.0,5.0,2,Sub111
2,4,68,-3,3,1,2,3,0.6222567,2.0,5.0,2,Sub111
2,4,69,1,9,1,0,2,0.6714988,1.0,0.0,2,Sub111
2,4,70,1,9,1,0,2,0.6085792,1.0,0.0,2,Sub111
2,4,71,4,2,1,0,2,0.6730259,6.0,2.0,2,Sub111
2,4,72,-3,5,1,2,3,0.7147643,1.0,4.0,2,Sub111
2,4,73,2,6,1,0,1,0.7325656,3.0,1.0,2,Sub111
2,4,74,-2,4,1,1,3,0.8626733,2.0,4.0,2,Sub111
2,4,75,3,7,1,0,2,0.7057211,3.0,0.0,2,Sub111
2,4,76,2,6,1,0,2,0.777685,3.0,1.0,2,Sub111
2,4,77,-4,4,1,2,3,0.6927999,1.0,5.0,2,Sub111
2,4,78,2,8,1,0,2,0.7400466,2.0,0.0,2,Sub111
2,4,79,-2,6,1,2,3,0.687183,1.0,3.0,2,Sub111
2,4,80,4,4,1,0,2,0.9440337,5.0,1.0,2,Sub111
1,1,1,4,4,1,0,1,0.5897516,5.0,1.0,3,Sub111
1,1,2,-4,2,1,2,3,0.6817007,2.0,6.0,3,Sub111
1,1,3,-2,6,1,2,3,0.6262832,1.0,3.0,3,Sub111
1,1,4,-4,2,1,1,3,0.6929263,2.0,6.0,3,Sub111
1,1,5,3,3,1,0,1,0.7358137,5.0,2.0,3,Sub111
1,1,6,-3,5,1,1,3,0.8652872,1.0,4.0,3,Sub111
1,1,7,-1,5,1,1,3,0.8046137,2.0,3.0,3,Sub111
1,1,8,4,2,1,0,2,0.6946608,6.0,2.0,3,Sub111
1,1,9,-2,2,1,2,3,0.8368762,3.0,5.0,3,Sub111
1,1,10,-1,5,1,1,2,0.588876,2.0,3.0,3,Sub111
1,1,11,2,8,1,0,2,0.7326066,2.0,0.0,3,Sub111
1,1,12,1,1,1,0,1,0.7411221,5.0,4.0,3,Sub111
1,1,13,-4,4,1,2,3,0.9320367,1.0,5.0,3,Sub111
1,1,14,-4,2,1,2,3,0.5424417,2.0,6.0,3,Sub111
1,1,15,4,2,1,0,2,0.6654477,6.0,2.0,3,Sub111
1,1,16,4,2,1,0,2,0.620325,6.0,2.0,3,Sub111
1,1,17,4,6,1,0,2,0.6152775,4.0,0.0,3,Sub111
1,1,18,2,4,1,0,2,0.5839976,4.0,2.0,3,Sub111
1,1,19,-2,4,1,2,3,0.7990439,2.0,4.0,3,Sub111
1,1,20,3,7,1,0,2,0.6516746,3.0,0.0,3,Sub111
2,2,21,-1,5,1,2,3,0.8961388,2.0,3.0,3,Sub111
2,2,22,-1,5,1,1,3,0.715042,2.0,3.0,3,Sub111
2,2,23,-3,5,1,2,3,0.8401314,1.0,4.0,3,Sub111
2,2,24,4,2,1,0,2,0.6125695,6.0,2.0,3,Sub111
2,2,25,4,6,1,0,2,0.5301958,4.0,0.0,3,Sub111
2,2,26,1,7,1,1,3,0.7621498,2.0,1.0,3,Sub111
2,2,27,-1,5,1,1,2,0.7518987,2.0,3.0,3,Sub111
2,2,28,4,2,1,0,2,0.8056303,6.0,2.0,3,Sub111
2,2,29,-2,2,1,2,3,0.9728217,3.0,5.0,3,Sub111
2,2,30,3,1,1,0,2,0.6333407,6.0,3.0,3,Sub111
2,2,31,-4,4,1,2,3,0.685052,1.0,5.0,3,Sub111
2,2,32,3,1,1,0,2,0.7210964,6.0,3.0,3,Sub111
2,2,33,2,8,1,0,2,0.7289355,2.0,0.0,3,Sub111
2,2,34,-3,5,1,1,3,0.557179,1.0,4.0,3,Sub111
2,2,35,4,4,1,0,2,0.6304248,5.0,1.0,3,Sub111
2,2,36,2,8,1,0,1,0.715681,2.0,0.0,3,Sub111
2,2,37,-4,2,1,2,3,0.605646,2.0,6.0,3,Sub111
